forecast_date,target,horizon,q0.025,q0.25,q0.5,q0.75,q0.975
2021-12-22,DAX,1 day,-2.5022463257358,-0.592644123621277,0.0632859884874458,0.73582514300517,2.64645161110583
2021-12-22,DAX,2 day,-2.64654807171793,-0.578647434826839,0.103229471002794,0.769715223734106,2.63177374791171
2021-12-22,DAX,5 day,-2.50220231201117,-0.543000443728286,0.261026556557818,1.07548528183303,3.01303099705201
2021-12-22,DAX,6 day,-2.26320489252125,-0.564048427354531,0.0808073658281147,0.739767192539399,2.29823769193611
2021-12-22,DAX,7 day,-2.74548460240892,-0.438801448371385,0.416929097747595,1.25980413677841,3.3823745557795
2021-12-22,temperature,36 hour,-0.57,0.6,1,1.6,1.9
2021-12-22,temperature,48 hour,-0.9,0.7,2.1,3,3.88
2021-12-22,temperature,60 hour,0,2.9,5.9,6.6,8.19
2021-12-22,temperature,72 hour,-3.17,-1.1,-0.1,1.3,3.88
2021-12-22,temperature,84 hour,-1.6,-0.6,0.1,1.8,4.02999999999999
2021-12-22,wind,36 hour,2.52,7.56,9,11.16,14.004
2021-12-22,wind,48 hour,3.6,8.64,10.44,12.96,19.44
2021-12-22,wind,60 hour,7.2,11.88,15.12,18.72,30.6
2021-12-22,wind,72 hour,2.88,6.12,8.64,13.68,21.24
2021-12-22,wind,84 hour,3.24,8.28,11.52,14.04,19.008
